recipientAddress,pointsAmount
0xd3f5e7f9a1d3f5e7f9a1d3f5e7f9a1d3f5e7f9a1,88
0xe4f6e8f0a2e4f6e8f0a2e4f6e8f0a2e4f6e8f0a2,55
0xf5f7e9f1a3f5f7e9f1a3f5f7e9f1a3f5f7e9f1a3,27
0x1a2b3c4d5e1a2b3c4d5e1a2b3c4d5e1a2b3c4d5e,73
0x2b3c4d5e6f2b3c4d5e6f2b3c4d5e6f2b3c4d5e6f,41
0x3c4d5e6f7a3c4d5e6f7a3c4d5e6f7a3c4d5e6f7a,89
0x4d5e6f7a8b4d5e6f7a8b4d5e6f7a8b4d5e6f7a8b,12
0x5e6f7a8b9c5e6f7a8b9c5e6f7a8b9c5e6f7a8b9c,65
0x6f7a8b9c0d6f7a8b9c0d6f7a8b9c0d6f7a8b9c0d,31
0xb0e9ba467a68b96bacdb35403bd5cdbfb56fbe24,2
0xad63d8f75b0f5b362d1cb646e34cbfb78ca12f8c,3
0xdcff88a254e6ae2b5119a0b9d772d9a50521de96,5
0xef1f2ffeefa77a70cd8bfcc8ac1bcc109b11190c,3
0xcfb718853265dc05bfca0afeb0da7a4cbebdbab6,5
0xb8c8eaf277c95acd88bfa9d8aac74fabc5eba4ba,4
0xe09ff28adb8c0d6cf85c7d41eeeabf01c177c1cb,2
0x4ac31b95ab0e0727414aee8024920c0c26af1882,4
0xae8b48f0f9e6bbf0dd9fecddea9ddda88db8484a,3
0x550f84dcb9d31deb8bac0aaef6fd26b0b26f1efc,1
0xcabcd61b2efdf6eedf4ab64d0faf915f9de0ced4,1
0xe40eaaeed83edfe74a95e8dee65edaa1d6d015d9,1
0xced7286f44fe780eebbcffdc0ecc7c370cff7960,5
0xaeeeeab533731d6dfbaa3d1d991e56be86ed93de,5
0x39d0fb3bef9dc96a57aa5ecca058de4af5e755ba,4
0x0f1e0dbebadbafef89a5025df6d5cbea86ac6c86,1
0xfb819ffcdeed0bccd92801c7f3891bfd8fd5f241,1
0x0fab25a3704b15f6fbcbf735752c5fde4ecbabe6,4
0xe7bae9abdda9cb2766dbfb13c4e54ea5ad5f50db,2
0x3a1c68db916faeb99bb1e371e950b1ccda40c2e5,5
0x2cd41a5d391de5c4d8de827de93ffd4edb6a3b6c,4
0xd1d6e9f63fea0ad8acca763e29d0ae74c0c35a2b,2
0x6aebac473d572d53ed80caf7b66c2437bdb3c7cc,3
0x409bb6ee6243b55ab9da79aff2f1fef4eeec6c6f,2
0x750caf93fdd77df8d52bff8745effbe8edab9f9e,2
0x6e3ab9c068ff5fedf83fb5bd2a4adeb0e5cc3eeb,4
0xb89c7ee9dacd60b5acbc3737acc6c40accc276fa,2
0xefbe0f1c90c4bcee5ba387117b5beccd1db8d431,1
0xfe6c4b5c2bb0eff4bf9f8b13dcc0c8c9f0df6aeb,4
0xb69b7a5baa12be6f0bf48fcffa01ec71fa57501d,5
0xb9e5db5c64eefac0d5efc8ccc6bfe81dac8fdcff,1
0x7cb22b0e9eafbaf33ffc0b59bd99322f84cdece2,1
0xc1cd35dd39fbdd5acbc2c2ff1cf7bda1cbff10ae,4
0xba3abe2efb2b41ea11b7539c50ad94daeb4d75ef,3
0xa2bb321bbbffe3d1ea9a3827f081edbf335c06b2,1
0xfeb7f9528396589c6cc35ec3dcaa6db3958aba1f,2
0xae14a88fac78aa2ec7855ea43db9374f1fbabc06,4
0xb1e0a72fb24fcacbe6b68ac1d9465bd71de8df18,3
0xed3a5db0fbcae9acda3d72acedae1eaa63e60e7b,1
0xd6bdbbbacc0bc843a3c957dae01e18a5968bd661,2
0x9c46b2efd7dacdc863e9186999d81aa7b832bdc9,5
0x387f9e3bbea7b0e866d869dd7e24eefb6243e50e,5
0x3a2521f81f1bfbe1d3cf88b2bbf0e91bcafcbc9a,3
0x8318aa721c7c8bdba5ad0eeabd271dfb1b3eafc6,4
0xb6cef0df6e57586fcd24ffbacf066c2a2c0ccaf9,4
0xfc6113fd8aed9fefec9e0edb2f3fbc36ba1d4ff6,5
0xdb55443bbbdf4aefd8c908544f6d309120e178ff,1
0x2bd439d3fd51dc796a64ddfc1bdca4ed6eb9fe6f,2
0x944f5ec0e0dab7ddeebcc8bfcd00246b01534af2,3
0xbae7c3b5246ca3efa16df9fd35efea1cc66fd1de,2
0xf6abbdfbd1f6d6dbd2605dfd3c4f3a9cbb7b8cfe,3
0xc2c24af3844a8e31bcba5dfeaeeaab05fb89abde,2
0xa78ad84edb58d7fdd4aa8e5bf9bbe2f0cab0d36b,2
0x16a0a1ad8eeeb9ca19effd9b4788c2adad3a5fea,4
0xbe4cba6b567dc3f4504e748c6b1f6c002dc3440c,4
0xd6b0bdfac98b3e7fe764d83cec6b12befa59fee5,3
0x8dee9dcbdff0a9fa62cf5ba57c6eedfc8efdf1bf,5
0x7476f577e0f0f68fc6fc0eb3f7badb1fcebe294c,4
0x1fb638abbf8cbfe97c5fbdaaaadad8fcdb1d3b67,1
0xc8f62daa5eda7badfe933f9deeacb7b01c66aedb,1
0x263c54eebc76c8bcfced85901a83029ac1feb9ba,4
0xcb2a86cc2b972c8e6a5bfbfb1cedebaaeee86e0e,5
0xafbda1df6cabda206bcd761c92a9be1b18b6d1b1,2
0x0dccc0eecda9e40cf17787a51fd0bf37aa8dcc94,1
0xae3ee0fd9f5cc7ea107ec37dfd37b3d2cee2eecd,3
0x53f3ba3bbf314fabfc315d2e6a0a9e5da578ea58,3
0x7d8758821d493cdcff7d7ad1d2a53dab4bb71a56,1
0x5eced0bea3e3abb61e710bf1275ed9c4053bb7b6,5
0x11fdc3dfb7f4ebbfea34920b153b8a6cd11fb727,3
0xa7a7b9d8eef1aa32c13c8dc7f4968ef8ce88f8be,1
0xfdd5fb2be6bab151da7ef2ef07f4f11dd20cae66,5
0xd1d2b3a1ad77cf9cec12b05ce2f0f93337a3fe0d,5
0x757ef7d4efbf8f537add11fcdadeaa1c1fd1797e,3
0x1ada4f3b0da3a12cf831afab3aaa0a34f7f807e4,5
0xcf1b0cda3e475bf7d1bfc3f930beb71692d3a29b,1
0xcecb9df10b9e0db7cb8c474b918dde2bcd70a5de,4
0x2c51c6e7c52a91fc01ddd1bb7ae3fe0c0cf8d37f,5
0x365969284807f661ed4b7d3d6d2ad4c4080a5397,1
0x9e46c2dca0640e5ec76204a62eaefe9fad3dc8a1,5
0x852e67248012a00ff166ed907cdaf0c2dcab3afd,1
0x03d7eac9a2de8d65aca6aed4df5db3080eba4cfa,5
0xcbfe66eaeb58423ffeae91aeb4adae2a25ba4f0d,3
0x9abdc09e597655deb3671ebfadb97addfaccd1ab,5
0x376a014e4cfdc769c9bb4287ecfea6e70cece4dd,1
0x203a3a2382ef4cd9d9ef4ad61ddac9ede1d5754f,1
0xf60bff3ac33e4a871ddff8cf111f01bec0a7696e,1
0xab03e68acdcfff3debb5c7b08e4ffafdfb5f9304,4
0xee5c1f4cda41acedcbea6d7eab429e607ba7e31d,2
0xbb9e795becdb44acccb4b8e0c4b99f72ffad3359,4
0x20ecefbbf6d14ee604916e6424cadcccac4af9f1,1
0xe19d638aad317bfa314ec70892a939e93efeeced,1
0x44508bfdd0fdaeb6e0a6da01eb94e574af0f7aeb,2
0xcfe7babebbfbaeade46cdaebf5ca60fd298c3cbc,1
0xeed3e95f42c288d0d5d5d7fe1cea64ec0dbc58a5,3
0xcae0edace13edef9ba18233d4e652dcfce1ce1d6,3
0x368812ad8a1bfb2b5c30ef651a7bdf559abe16f6,3
0xa66ee6bfbc71bab5025d1ba2ca55de7dcd2d40cb,5
0x6af3740a3cadd6a1cbc3e5aa3b449e372fbef0bb,3
0x1fde259ae4abddb8afa5220dbffeae44938b7a70,1
0xb0ebfca572dbba4cc194de0efde2a7c7accada27,3
0xf2afb33530f7acb5af2cddac0a8e0c647bd15f1d,2
0xca9ea0a3e31b3bbde840b5d2b4b835b91a7e190f,5
0x5e460cb7bfbfcaf17b0d076f69be167df851aa9c,4
0xca9c40adfd5ba6fbd07accd91bf6f55dbfb1ac0c,3
0x8bd8b134cabdf98ddeb2e8e6017bd02105bea5f2,5
0x3d1cedd912adca6c077d7c6c2960d5aced8e5c53,3
0xc145006ffda9add8bca54e3491f5ba95f9391a8c,1
0xcaeeaeb94b99fcf879e9c9becdacfcc48ccb0cd7,1
0xef7a1d4f56fb7440fe386b3e6ead6e1ebb93eed6,3
0xb28ee052ddb671dcce8aa5ab6e8f0fbf27dade5d,1
0x7d59dab0de4c76418ca4af6204c6dfa3cbdec4cd,3
0x79db70e5ff6fefd4747c7c1570accbfcab30cfd5,2
0xdc8d677aad26dea0bcfcdd22bf048094aace8e9a,4
0x7fb26dcbe7deb5d15dfe10b8a69cd1d90cc7dabf,3
0xbbd566eb04128bea628f4e6bb7ca75fefa2a99da,5
0xeddbd6b01cf84ffcf67399ea613ecc0b9e0d83fe,3
0x20aaba9eaba5edd7cf7cb2e4b3c7da1fac841abd,1
0xa7cbd6a391ceeca6b8de5e225ed1cc3f5bcac2b8,5
0x0dfa70abfcaed0aacd8595bdedbf50b057f3c556,5
0xe4bac5bbd511a0401a2b47fea81e7f5fbfae88eb,3
0x62abfcf88b0afeb2d91bd4c5f4aebea7ffceebcb,5
0x2bd6c05123039ead26a6e9dfcbc5b1a6fd0bbdde,1
0xb0f084587885cdd6de72cc3efcf189933620b066,5
0x5bf18876abc641f42a38e29d45bf92081ca1d0d0,4
0xb39ddbb2aff8b7b54fe9dc826f8a2a4ba5baacbb,5
0x091fcd3a2982ef5dd93dd1eedbace00dcddbaabb,2
0xbcebca94d9ce24e0e370aff40c8721f62009dfda,5
0xa9ca8dfa6dccc35d33fbccd75711d81dab1dafdc,2
0x66339aaa47f04ee0ef980cf824cd976a5eacf598,5
0xe3a50e18c1912f66bfeebba994e2af2cd85c1fac,3
0xcf8e2b91825a7f6ed0c75e673a2ae51af34a115f,5
0x5874a2aff83acd3e5cc9cd97817b2de6a97fbabf,2
0x6eaf83cdb436470bac1beae1fcb774dbaae9c6c2,4
0x8a1aa2a924a9f357598382c5ad6ecdbf6174adab,2
0x5acc55d14bdbcc0f82cf920b0f2eac4ebc4140fa,5
0xf443e2d2fefadecfcdeda4bdfc4a5cae5ddf818b,1
0x6b709aa8d6e9ad62ea5cec5e3af3de86cd0a94fc,4
0xbaeeadac0fd4b776cdda42ad1eaa90fc8d56affe,5
0x1e2bfd98e8026cc35b5c92662deaf8d208d12e30,5
0x86d11ec9ead4a2b9b22e50decc8fded3fd73bc9b,3
0x5afe6cdfdcefb08d1b9d9db2d7e43c9bb95cf2db,5
0xe1449e4f51b221bee5bfff5b6ccc1b1f5f0ef4fa,3
0x3b1fc463c0bf84ff3fc36ac32fbb552cd5ea0c3f,4
0x72ce848e5090700c8afd7c72d81fb348fecbd69e,4
0x5e4beeef1750eddce0fbada37c717c2c8b3aadf8,4
0xdeaaf3aaabc62347e6ce3bf2cf3beb5d381fcfc2,3
0xa5ddd7db29ed4de5d21bbee4dd0c7a2ea6b12dca,4
0x8b5f76a2eef41ede3e43c6c4fa1e77ef64cd37e4,3
0xe0a1df10a7e1765ac12797044c2f4cc8ea36d10f,1
0xe5abcecacebcee202bbfd21befa65eaff7181b6f,4
0x0f00dc15a2033e3725560ac687a4ba7b9c7abf1a,2
0x8edc0adb1d76f28f5cea5fbb3965bf09ffdfbdf2,3
0xd3acdc4eea4283fb1d8ddb2720c8a5bbe3080e96,2
0x9b82b5c0a769a1c28fbc8b5821fcfc553fb245df,2
0xf08a68c3e52701d7ff8fb54fe924a7cd5affb5ab,4
0xcf4c73eff8746adc1d5a181cbcc9cacffbaed5f8,2
0x0df6ab11ec898de03ce6caab4df8cdc80a8580b3,2
0x8dccfaaafd3fb5b2efca9027c67adceed695edca,4
0x0fb0e02bb67b9b19be69f9ac5cf5c77acc95fd78,5
0xea60b7cd7620eabbcabfc9ae6bc5fb5d22a1ced4,4
0xfdbaf2a39baadba5ce8f45b1c25c2ce1dfa5eda2,2
0xfd24d3dbff4d50d2df1026a8cc2bfbc9dcd872a9,5
0xdfb5a2ca8a8dab3ff21e3e7275bf21b253835e32,2
0xacdbae50a8515e20c13bcda3d40dcc6f0cbb8dc7,1
0x4d9eab818d4b3e6df6cfe2dedbdfe03eeefe20b9,5
0xbcea497dff95c460661c565cf2acf8caca14a5be,1
0xfc5fe785bbfbb255248aaa4b0cb43a05c3f2ddcd,1
0xc157fd879eb8f8a50d7b70e85cd006afe01d07cc,1
0xe8d3fc66f31cc75d53dbb7e6cdc1950fdbebdeec,5
0x840474e8c518aacaada4f5adcae1dc87efb78dcd,1
0xba7cef03a6b32c95a5effe4c107cae40c234cb24,2
0xf72dbc3f403d7ec63dfb37604d366bef38fdabdc,5
0x9a7bb386199fc54edcbd5ffdadeaf1d188ae4fdb,4
0x5c522ecad42cc05faff303b7885d32cfbccbd7fd,3
0xd8ee7f1db06d6c99559db8cdee776a88d6c9e7fd,5
0xfcd27404dfcecdbc2cc8a7b7019243dba7058ee0,1
0x7fdf2d8c64bbff4fcd1ddfbc18a8c8c25d1ddc3b,2
0x5d9c24b0feade2e992fc965cf2caeba8fe6011b8,1
0xbbf3475a3e31e9d6eeceb84fecb65a081daab53d,4
0x1dd72c6fd4e4d1e877d88c969ee7def25aa8dced,5
0x55cf9cd0d7eba0bec9abce8f94757ea380cb8cdf,4
0xbaa3e21a926c0693a2dfddb344f8aedf011fba6d,4
0x0871eeeeec5ddf2b746f9ebf5eadc7ca932df7fd,4
0x6f8009e17d9774569c6fd3bbcaaf73e9447c07ed,4
0xdeb25bb46ee7edeb76f83648dfcbcb4ee0483830,2
0xe6d4da1fb50ea8fb2dfdbbdad0e3ba3bc5a1d1ce,3
0xc9a8deafb4ac75294fe90ee774cdcacc6df806d9,1
0xc5c1fcc559da84bbedfe308f6398af9ca6dedda0,1
0xad815dcc086bd60118cc9ef42cbd8a091db48d74,1
0x2d2242298fffa14dd53a7acd62be63faa23b11f6,4
0x26ab7be6fbcb14268e0a1f69c47ebf2dc0b2915f,4
0xaec0a6e9b355bcbc9f0c84c390bacffe3b5977d9,5
0xd9ed3c50a9a505a87df41b7e38e54de2f83beb9e,4
0x8b0bf85d82bb07331a6f39eeceba55edfbdacc5f,2
0xb71be9987ffc19fe5ba1454aabafc63f5d13dc57,5
0x1bc7e96ab301e6ce4aafef4b854cfab6a02de9bb,3
0x4b20fcd1ce9bcefd3b7a3dc4ca1bead0e4bee884,1
0xe2ddb0fcfc60eadd6dcbe6a12b44c3ce0c5429f8,5
0xaadb29dfb0f96fb59a82b4ebf91f155fcefd6f29,4
0x71a65eaadb263c3d67af93d2467fecd6420867cd,5
0xe5f0d3ad4cda82e26dedcd518b8e10bd2aa92c2c,4
0x3e5051eab36e22e59c0b9dd138ff3b6c8ac92e26,4
0xc3f0b74ea2ebf6dcdd908f72b7cf3fddd99b7a95,1
0x9b49aa420cdef7d48bccc5dcc254da52fc7dbceb,1
0x4eba4b645a1f7cecabccaaab23c5aed8e34b6214,4
0xabce8aeae0fedbfabed4784c1bd7d9d6d47f903d,2
0x05ca10b45b524d508bdf1dfd2f33d9ce60bafdaa,3
0xeb5f5ca2e548bee2c13fb3f8f70ab580f3ee86ab,1
0xa0582c73acd6c19cd9ed1e8a30edc9fddf33b6fb,1
0xb48fcfd09c7e84338bb14bb6e87d63abc03a2cb0,3
0xaade6f96ffd21d182e9febefb3bf672e25bdd679,2
0x0f5e46bdddb900f3eeaf84eda19f0af3caae20e4,4
0x4ea060dafd619fdd4a1aec1fe398385a201ed30b,1
0x9b0bfb051a8def65efe80bec5caea0781b48dead,4
0x0c1ceedd8e7da7d9958f7c0d78efffeb669399cf,3
0xcae1db400aa91ed8a203d7276ffdf0daae5beacb,3
0xa539c4fcafb68e37aebf365342c3a5142bbfd734,2
0x1211dcf6bd4a31ea4cdc666dc048aaee224952f9,1
0xc2d50c8d89a856bbfeb7bcc263e6c581bac99dfc,4
0xb9ae6cacab0a3f0a9acebad1c67b73e6d8df6fd7,4
0x1dc87bf51caf13b35aeaf6e7d2945a3d438de4af,1
0x5ab0f0abccf45b4eba10f26f6c6291fa32bb1d6c,5
0xafd4e96aa216147a69b97aba876bbdced8d231bc,2
0xdacadcfe93afee30d3ea472cf5c46e1ae3fe6a06,1
0x6aac7d66d9f29ae9eb4a55e8bf9ada741d467928,4
0xc681c9eea9e619a6ae1f1ad1f46d1aaf3dac7f4e,4
0x48b3154d9793bbe1f7f4628aa4db0ee93bbab46b,5
0x7f753ea44eebd68afa55ec1a9e286fabd7ae0bf1,5
0x4903f8ad2b7e6bbf719050b78d4352dbbda71d41,3
0xfac43c9f4adf030a5d9dc2bfebac0a4188fda2c4,4
0xdac3d87cbec4a50b7d5b66e0125fd9ec1cd9009c,4
0x6ab9f5e8af5d66d0d1c6bb5272ae3bb93a07021a,5
0xe9dcc33abbc114b6bbf1c2c4f468c9cbcf13e5fa,2
0xda73bf76c3fcdf046cfdfab2cadc2d4deafeeca5,1
0x633bca6aba436aaacbf7ab7d685660c71ca199eb,4
0xa43d346e161bb0c0e5dce8ec67b3eceea71dfdbb,5
0xb704a92cbdef428ee4ca0d9a79f6a1fa8be457ab,4
0x40acd4fade3a922b5d7dac644e3ef5fd2a28a0d8,5
0x046444b3cab4ecb7f7ff5c81b3bdcce04b5acc6f,3
0xc55f941dc739b1c2a6e397c86410ebbc557df2e6,1
0xcc9cfdd2e82c5bfc5d8ad67e2ae8fd35ffff6ad5,3
0x6ae6e7cfc3f35d99e97a9c5cbb60ab190ab723a3,3
0x28ed95ade75b8cddbbecc2aafed859a881ea3a1f,3
0x4dfab5acbe72bbf9a573037cdfab3e80561fbdeb,3
0x4c86ebdbfda08d0fd2f125b644ad40adcc793fc7,5
0x18b4ea4ed27b65afed1f683febbdf9844fb0522a,1
0xde78cdef8e28ac5b3d9fd4c5a9adc339146b8f6e,1
0xff0eff3b8ba9c02f8fb4cf0aca7caf43b4d68baa,2
0x2dce8fa1290066cddb544aeeea3cb3f79dc02f16,4
0xcf5ad89c9a4a2a40f18ca30c11e0e03e97f8e7da,2
0x93b5e03ebb1dbf690bae50dce9fecab2daca7fe4,1
0xbbda0cedcfcf5ba879aef5aef6e5dabe569e1c8d,5
0xa4beaefd16b8aac624c32a844de7e03aae0a59bc,3
0xf9ba4a436f800d1b0debda5abecbea784ed7aa75,4
0xcc47a35ddfb4e8fb4e47c85d0f2d6ea13affcf6d,3
0xc6b8c96b96beeaeeedc80f27a2cfdc4bb0a0cdff,5
0xe2a65bd2eccefeeda4d3634265f14f78eda45bca,4
0xe780eafd27e14710f8cac00ffae2b6b97d8b001e,5
0x9e0aa6ef9bcadedb079a5085bfe7d67d4ff1b7ec,1
0xa84e8ae7bd9e1a968ef19c0f4cb266abf7e0aecd,5
0x762cfce8ad38c3ae4ef9fe22f9586a6196ce6a40,1
0xbd29a39062dbcc53894dc11bdaf75b59b3f135ef,5
0x00e2657bcd02eaf7dfc9ee5076b50d548fbebbff,5
0xd0bea2a7e8f367cf23cfccd27497b4fd9c606392,1
0xb829eb9adfe16f7bc795cd0fa5fd2c43eea1baca,4
0xecea1bb7bf0ee9f5f668ff25116ec2391c564cbb,2
0xfee96dc2edad7b961c0d8aa9fb028a61ec62aaaf,4
0x8c90b19c8dedffbdccc0b14b7d3578ccc0f5d95d,3
0x57d5fff14e00e3ebf972dfde8d1ee5f71321b185,3
0xd8d630ddfa4d1ccc2a59ed039b19a01e509bffad,3
0x9fb3fef82ff01acbf5ec8ebed81ff1ead8e83ccd,5
0x0062f8184bc6bbad3a981b03d4fdcc70b33f660b,4
0xc2d9620a699ce3922ceaade9186c6d9313a575fe,1
0xaf82b6afd8bdfd34dcd0ca4492ab48cc5a54e8a3,4
0xf5a3e2802bb9dce35f9ecb9cfd1bba4e0e92cb37,2
0x205071da4ce389ba6ebf8b7abea9b96ff018de8b,2
0x7af3f8e2cfb5d2dda6693465d7eacc67808bac5b,1
0x8d2efa7bd85c6cd349258715db368e217efb564d,2
0xddaec6aa3edec252ba4e1a4ecafcc904e820db1d,2
0xbfc86f7d6a61bb558ed5ba15ef11eb03dd3bf395,3
0xcce4a444bf14dd1d0e583cb1b097145ac25cc3b6,1
0x2abecbe9ff0e3dce2fdd7467ade4d1b25130cfba,3
0xfed9f533e5e8f7ab0ea0afea0addb1a616c03e94,3
0xb68dff13eaea292b5b3c9ef47f19dbfbed27cbec,2
0x0d7a3a78eb561781ffe3eaaefda0aa24babe6e8e,3
0xf6b541e0ab98fc7f018a5b8651dbfcf7fdcdaf88,4
0xdcd4d61156cadfb547e5c85febfffecbfe90cfe6,3
0x9e39307041867db5fcfa2a7ba5eaeae592e7f58c,3
0x2d17a8f3b50eccc6df1222d5eabbaf586ca2c18a,3
0x401d2b2cfeacb38bffd5d6add1c908ca2ebcac2c,2
0xdfadc87c93301b169a0c7c1e1ffc9b57b14ac17a,3
0xca2a9cdcd2c4f0eccb149de6d801b3ad102ac95e,2
0xd47cc87dbc6e8c1ea4ec11926b4b23c64ae2dfae,2
0xd5f388bc248eeb500fcc6e8abbfbaab797a8bbef,1
0xefa0aa077cbd926d463ca47f9fc1ce65ffaaf6b2,4
0xe1ab6aeb002b1a5dfeb232e9dab9e6cf17ecafc0,2
0xfcc6e3a9958b7af46dfcd07acaedbd0bcffc3ca0,4
0xdf0d3d713a454ef1e510e0d593cbef9fafeaa70c,3
0x68afec6fbdb7d7db0ba85de037d2344dd05ae1af,4
0xabad928cb921a8ac73a6ba84f00aaff67b1860ed,4
0xcb812df25fa1eaa4f4c1f77d56f61b41abaaa3ed,4
0x2f856cecf91cfd6eae9d85107effd6fadba801ec,2
0xf4a220759ca304508d3d3ed92c6fc7399534ecfd,1
0x7afdfb3ddfebb2bd771a338f01ebdaaa8bc56f2e,4
0xfb6fb0a58f488374daddfab20f38cd0f4bb8c1a3,4
0x03be4fa67a38c6dd2cde24ccaeb86f5be1a5f9da,1
0xaddcc7ab4e6dc9bf68a7ab5e4fd1eddbc4becce7,5
0x39d0ed5793f095299eed68eeee65c8cc6ee73af4,2
0xd9a1eeb754a19ca7ca1aefabbbbc0c27e0fefcf0,5
0x4a85adfdce6d8313fce08c86bacaf8a5bbbeabc5,1
0xc750da9a2616f9f5b592fc0fcbdc0c182c4a8a29,2
0x19cfacddab3fa534dbcae4bb321fde4397dfb96b,4
0x660459cb2a5a44ed99fb6bdc4e1908319ff01cd4,3
0x3d9a51d3b44ac4d2c168cfe10fd0d7f8fb64225c,5
0x6e0c049cac5d45abfeecece749beddfd189fbef5,3
0xf475a34a46a3f7e42c6c8991cd39a2dfca94c5e3,1
0xccfe7707c3ed0f8d4cbbf1ec077eecb5f34d3ecb,3
0xc305fb8da5d109bbd4569f76a0f85bdbf7562ded,1
0x47d471cd5eeedbce518f9cca8b75c5b17dbc8712,1
0xfbc1b82fffcf7bdcee0db6d9ad55d543b5e79291,4
0xa3ad09326faebb83e852fde6628150abc2a3b377,2
0xdd7d4c22fea781cdda5f3bcfa0e2b6bed5cc822c,1
0xf314949ad1a74bab726c0515ff0efc577b21a25d,3
0x0e6ed2f15bbd632ed1ac3efb4dcf8064e4e7b60b,1
0x3c0114fadc6d0c1bae00206e8cbada79949dfb96,3
0x22dbfa9cf0cbafd93b0a71dcb63eabbdf59f7eb1,5
0x69afa82affdc029f69ca0a0650cad0d7d3bf795f,5
0xe2c37cf56d04f56fd7db7ccdc9aabff72cc3a10a,3
0xffe34a69ae73ba3b4c55e773ac3fed7efbd0f0ee,4
0xa64a59ffd02c28dfa07988cb5b48c2c7f2abe07e,4
0x82efafaad1f34f952debfc5ef4fbca9bf6f79df9,3
0x28ac47c30a766a9fb293eed14f5d67f2fb8e00d4,2
0x4061b81eaf7d4b3a8dfed39c7b1f0b504ad38dfa,3
0x582ebcd3a7ca8bfbdbd9e7ddc223c3e769c4d9aa,2
0x5c8aa326ebccf5e9c8eee25affeb64bcda6c68fd,4
0x7fe9d9a226fe3658dc1bbab3c0f6b753596147da,2
0x1c37598ba05116d9b4310ccc1ae90bce3da64107,1
